epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,455.798,0.81868,0.51155,0.97227,0.96894,0.93098,0.9513,0.67566,0.72895,0.44557,1.03006,0.00120265,0.00120265,0.00120265
18,481.226,0.82552,0.52825,0.97338,0.94549,0.92219,0.94663,0.68356,0.70815,0.42702,1.0183,0.0011885,0.0011885,0.0011885
19,506.921,0.8299,0.51112,0.97258,0.96193,0.89693,0.94261,0.68628,0.70006,0.42713,1.01447,0.00117435,0.00117435,0.00117435
20,532.893,0.83253,0.51844,0.97518,0.94306,0.91914,0.94368,0.67984,0.71635,0.39699,1.01294,0.00116021,0.00116021,0.00116021
21,559.386,0.819,0.50494,0.97298,0.95377,0.92772,0.95047,0.69273,0.72607,0.4077,1.0201,0.00114606,0.00114606,0.00114606
22,585.233,0.82434,0.50632,0.97338,0.96493,0.91322,0.94588,0.69095,0.70639,0.39167,1.01995,0.00113191,0.00113191,0.00113191
23,611.41,0.82588,0.50564,0.97324,0.95553,0.9311,0.95176,0.68725,0.69724,0.37518,1.01097,0.00111776,0.00111776,0.00111776
24,638.021,0.82077,0.49676,0.97077,0.97463,0.90642,0.95749,0.67644,0.7643,0.36127,1.0308,0.00110362,0.00110362,0.00110362
25,663.551,0.81629,0.49381,0.97034,0.9423,0.92413,0.94545,0.69555,0.72222,0.36784,1.01948,0.00108947,0.00108947,0.00108947
26,689.356,0.81374,0.4831,0.96995,0.94906,0.93188,0.95588,0.69617,0.7,0.3627,1.0099,0.00107532,0.00107532,0.00107532
27,715.146,0.79257,0.47379,0.95543,0.95208,0.94043,0.9511,0.69558,0.71212,0.38546,1.0112,0.00106118,0.00106118,0.00106118
28,740.966,0.80298,0.48335,0.96108,0.96418,0.93763,0.95579,0.69216,0.70886,0.37535,1.01239,0.00104703,0.00104703,0.00104703
29,766.743,0.79063,0.47843,0.9501,0.97047,0.93341,0.95681,0.70941,0.69092,0.3736,1.00549,0.00103288,0.00103288,0.00103288
30,792.328,0.78996,0.47315,0.95983,0.97259,0.92946,0.95465,0.71096,0.68858,0.37166,0.99984,0.00101873,0.00101873,0.00101873
31,818.103,0.78375,0.46257,0.95346,0.96405,0.92363,0.95293,0.70515,0.72622,0.36369,1.01096,0.00100459,0.00100459,0.00100459
32,843.95,0.7864,0.46882,0.96111,0.96195,0.93774,0.95377,0.71387,0.68986,0.35557,1.00476,0.00099044,0.00099044,0.00099044
33,869.802,0.78735,0.47022,0.95191,0.96922,0.92806,0.95212,0.71188,0.68955,0.35437,1.008,0.000976293,0.000976293,0.000976293
34,895.609,0.78376,0.46417,0.95539,0.97213,0.92848,0.95351,0.708,0.70455,0.36488,1.0116,0.000962146,0.000962146,0.000962146
35,921.822,0.78316,0.46179,0.95583,0.97268,0.93276,0.95103,0.70027,0.70389,0.38198,1.01518,0.000947999,0.000947999,0.000947999
36,948.258,0.79048,0.4622,0.9634,0.97069,0.93188,0.95719,0.70465,0.69747,0.37231,1.01182,0.000933851,0.000933851,0.000933851
37,974.46,0.78594,0.45897,0.95795,0.9668,0.93453,0.95513,0.70639,0.6931,0.36547,1.0095,0.000919704,0.000919704,0.000919704
38,1000.5,0.7879,0.46944,0.95331,0.97043,0.93763,0.95997,0.71718,0.67261,0.37175,1.00474,0.000905557,0.000905557,0.000905557
