epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.974,2.85636,5.8129,1.20487,0.46261,0.04352,0.2403,0.07754,2.45176,2.9935,1.03869,0.000660131,0.000660131,0.000660131
1,48.1036,2.85636,5.8129,1.20487,0.46261,0.04352,0.2403,0.07754,2.45176,2.9935,1.03869,0.000660131,0.000660131,0.000660131
2,98.8807,2.76494,2.86005,1.16669,0.27653,0.51986,0.18648,0.04776,2.69634,3.37274,1.11175,0.00131366,0.00131366,0.00131366
3,139.019,2.76181,2.03492,1.16924,0.52583,0.63177,0.50162,0.17191,2.28671,2.70439,1.01686,0.00195399,0.00195399,0.00195399
4,179.604,2.72655,1.742,1.15701,0.54213,0.46209,0.39473,0.12347,2.70236,1.6003,1.12501,0.0019406,0.0019406,0.0019406
5,215.442,2.68868,1.66389,1.1478,0.59104,0.67304,0.62568,0.22207,2.21126,1.35514,0.99286,0.0019208,0.0019208,0.0019208
6,250.843,2.65924,1.62904,1.14039,0.65628,0.67509,0.66962,0.23388,2.26341,1.21861,0.98988,0.001901,0.001901,0.001901
7,292.855,2.62807,1.54632,1.11889,0.57525,0.66426,0.55747,0.18914,2.28309,1.29618,1.01868,0.0018812,0.0018812,0.0018812
8,335.76,2.54932,1.50532,1.10842,0.52165,0.6787,0.52532,0.18933,2.23825,1.29558,0.99796,0.0018614,0.0018614,0.0018614
9,384.359,2.55955,1.49085,1.10854,0.69776,0.75812,0.71875,0.2681,2.12273,1.20492,0.98282,0.0018416,0.0018416,0.0018416
10,419.56,2.5502,1.50447,1.10787,0.79143,0.69864,0.67802,0.22584,2.23904,1.2369,1.00485,0.0018218,0.0018218,0.0018218
11,461.122,2.48657,1.48075,1.10535,0.81387,0.79422,0.76543,0.30857,2.09084,1.13312,1.00392,0.001802,0.001802,0.001802
12,503.529,2.49844,1.44908,1.0869,0.83782,0.83755,0.81878,0.3314,1.97956,1.06468,0.97001,0.0017822,0.0017822,0.0017822
13,538.104,2.46424,1.43277,1.09134,0.77331,0.75123,0.75583,0.29295,2.12703,1.10904,0.98299,0.0017624,0.0017624,0.0017624
14,574.628,2.44991,1.40381,1.08277,0.8108,0.81949,0.80696,0.32563,2.01019,0.99802,0.96113,0.0017426,0.0017426,0.0017426
15,617.262,2.44215,1.41479,1.07742,0.82098,0.72845,0.76342,0.30293,2.09672,1.1001,0.97137,0.0017228,0.0017228,0.0017228
16,660.619,2.41336,1.39706,1.07719,0.78885,0.82671,0.79745,0.31279,2.05324,1.10087,0.96511,0.001703,0.001703,0.001703
17,696.289,2.40854,1.39176,1.06961,0.82663,0.77617,0.81173,0.32392,2.08252,1.07133,0.96836,0.0016832,0.0016832,0.0016832
18,732.687,2.40343,1.35003,1.07045,0.88512,0.84838,0.87994,0.35062,1.97465,0.99337,0.95799,0.0016634,0.0016634,0.0016634
19,775.469,2.40733,1.35566,1.06743,0.8643,0.82773,0.8398,0.34274,2.01909,0.99352,0.96443,0.0016436,0.0016436,0.0016436
20,817.754,2.38279,1.33656,1.06376,0.81988,0.78339,0.84767,0.32361,2.03119,1.04725,0.95844,0.0016238,0.0016238,0.0016238
21,852.211,2.33026,1.30148,1.04901,0.87812,0.84116,0.85094,0.30895,2.0801,1.01727,0.9702,0.001604,0.001604,0.001604
22,889.424,2.31834,1.28343,1.04374,0.89547,0.86643,0.86648,0.36073,1.98401,0.9444,0.95435,0.0015842,0.0015842,0.0015842
23,931.106,2.34253,1.30954,1.04038,0.88553,0.86282,0.89547,0.3631,1.94838,0.95758,0.95247,0.0015644,0.0015644,0.0015644
24,973.911,2.35184,1.30601,1.05447,0.84737,0.85199,0.8727,0.36181,1.93041,0.95064,0.95167,0.0015446,0.0015446,0.0015446
25,1008.22,2.31406,1.28566,1.04748,0.86922,0.84838,0.88313,0.37365,1.91132,0.94496,0.95079,0.0015248,0.0015248,0.0015248
26,1044.51,2.29472,1.30126,1.05235,0.66716,0.62816,0.6202,0.22991,2.58975,1.31483,1.07501,0.001505,0.001505,0.001505
27,1086.77,2.25823,1.28397,1.03178,0.8956,0.84116,0.86864,0.37296,2.01375,0.9798,0.96297,0.0014852,0.0014852,0.0014852
28,1130.03,2.271,1.25446,1.04355,0.89588,0.88448,0.9176,0.39506,1.89271,0.91544,0.94749,0.0014654,0.0014654,0.0014654
29,1186.43,2.23872,1.24154,1.03349,0.88451,0.87365,0.8844,0.38827,1.99581,0.93706,0.97316,0.0014456,0.0014456,0.0014456
30,1243.39,2.2494,1.2315,1.03446,0.90567,0.8665,0.89502,0.39024,1.92365,0.93703,0.94995,0.0014258,0.0014258,0.0014258
31,1308.12,2.2673,1.24761,1.02806,0.85156,0.82671,0.82256,0.35979,2.0668,0.95447,0.99189,0.001406,0.001406,0.001406
32,1360.27,2.25238,1.23404,1.03244,0.91733,0.88124,0.89761,0.37752,1.94408,0.94556,0.95141,0.0013862,0.0013862,0.0013862
33,1433.12,2.19705,1.19889,1.02,0.92532,0.89458,0.92811,0.41822,1.88127,0.87308,0.94079,0.0013664,0.0013664,0.0013664
